UserID,Name,Phone,Company,Address,Email
stu1,bob,13288888888,None,None,None
stu2,jack,None,None,None,None
stu3,tom,None,None,None,None
stu4,jerry,None,None,None,None
stu5,zhangsan,None,None,None,None
stu6,lisi,None,None,None,None
stu7,wangwu,None,None,None,None
stu8,zhaoliu,None,None,None,None
stu9,yfshare,None,None,None,None
stu10,yuanz,None,None,None,None
stu11,tta,None,None,None,None
stu12,lis,None,None,None,None
stu13,xinx,None,None,None,None
stu14,ss,None,None,None,None
stu16,ssx,None,None,None,None
stu17,sdfgg,None,None,None,None
