2019-06-25 16:31:23,928  list
2019-06-25 16:31:34,725  help
2019-06-25 16:32:21,410  delete 1
2019-06-25 16:44:43,867  list
2019-06-25 16:53:06,441  list
2019-06-25 16:53:26,177  add monkey 12 13200000001 monkey@51reboot.com
2019-06-25 16:55:26,430  update monkey set tel = 13200000002
2019-06-25 16:55:38,928  list
2019-06-25 16:57:02,497  add monkey 12 13200000001 monkey@51reboot.com
2019-06-25 16:57:11,489  add monkey001 12 13200000001 monkey@51reboot.com
2019-06-25 16:58:36,669  lsit
2019-06-25 16:58:39,932  list
2019-06-25 16:58:45,945  delete monkey001
2019-06-25 16:58:52,192  delete 48
2019-06-25 16:58:57,793  delete 47
2019-06-25 17:00:06,128  delete 48
2019-06-25 17:00:10,978  delete 47
2019-06-25 17:00:41,518  find monkey
2019-06-25 17:20:07,879  list
2019-06-25 19:10:15,526  list
2019-06-25 19:10:16,623  
2019-06-25 19:11:11,250  add monkey 12 13200000001 monkey@51reboot.com
2019-06-25 19:11:13,724  list
2019-06-25 19:11:36,126  update monkey set age = 18
2019-06-25 19:11:39,543  delete 1
2019-06-25 19:11:55,819  find monkey
2019-06-25 19:12:02,693  help
2019-06-25 19:12:08,656  display page 2 pagesize 5
2019-06-25 19:12:10,812  exit
2019-06-25 19:12:59,066  export
2019-06-25 19:31:24,357  list
2019-06-25 19:31:52,070  delete 46
2019-06-25 19:31:55,059  list
2019-06-26 10:27:01,901  list
2019-06-26 10:27:04,541  help
2019-06-26 10:37:19,366  list
2019-06-26 10:37:22,363  help
2019-06-26 10:37:23,849  1
2019-06-26 10:37:24,366  1
2019-06-26 11:05:54,002  list
2019-06-26 11:05:58,207  delete 45
2019-06-26 11:06:01,993  delete 45
2019-06-26 11:06:12,075  find monkey
2019-06-26 11:13:13,256  find monkey
2019-06-26 11:13:50,463  find monkey
2019-06-26 11:52:46,773  list
2019-06-26 11:53:47,519  list
2019-06-26 11:58:21,235  list
2019-06-26 11:59:26,578  list
2019-06-26 12:00:06,594  delete 44
2019-06-26 12:00:18,323  delete 43
2019-06-26 12:00:32,535  delete 44
2019-06-26 12:40:01,875  list
2019-06-26 13:23:18,240  dd
2019-06-26 13:34:54,841  list
2019-06-26 13:34:58,227  help
2019-06-26 13:35:00,136  dd
2019-06-26 13:36:14,410  help
2019-06-26 13:38:11,154  list
2019-06-26 13:38:18,811  add monkey 12 13200000001 monkey@51reboot.com
2019-06-26 13:39:27,452  add monkey1 12 132xxx m@qq.com
2019-06-26 13:39:30,967  list
2019-06-26 13:39:34,034  find mon
2019-06-26 13:40:04,905  find monkey 
2019-06-26 13:40:13,800  display page 1
2019-06-26 13:40:27,345  display page 1 pagesize 100
2019-06-26 13:40:34,799  exit
2019-06-26 14:33:13,057  
2019-06-26 14:33:19,123  list
2019-06-26 14:33:43,100  add monkey 12 13200000001 monkey@51reboot.com
2019-06-26 14:34:10,492  add monkey 12 13200000001 monkey@51reboot.com[Dss
2019-06-26 14:42:54,858  
2019-06-26 14:42:56,936  exit
2019-06-26 14:44:11,787  add monkey1 12 13200000001 monkey@51reboot.com
2019-06-26 14:44:18,817  add monkey2 12 13200000001 monkey@51reboot.com
2019-07-01 12:04:51,298  list
2019-07-01 12:14:52,674  exit
2019-07-01 14:30:29,855  list
2019-07-01 15:07:54,912  list
2019-07-01 15:08:42,266  list
2019-07-01 15:09:17,272  list
2019-07-01 16:04:40,112  list
2019-07-01 16:07:35,333  exit
2019-07-01 16:09:07,236  123456
2019-07-01 16:23:21,330  list
2019-07-01 16:25:18,203  list
2019-07-01 16:25:36,754  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 16:27:04,681  list
2019-07-01 16:27:06,457  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 16:27:09,374  list
2019-07-01 16:29:09,613  list
2019-07-01 16:50:20,829  list
2019-07-01 16:53:39,059  list
2019-07-01 16:58:44,350  list
2019-07-01 16:58:45,823  help
2019-07-01 16:59:02,557  find monkey
2019-07-01 17:24:15,780  delete 50
2019-07-01 17:24:24,114  list
2019-07-01 17:24:25,280  
2019-07-01 17:24:25,455  
2019-07-01 17:24:26,629  list
2019-07-01 17:24:27,444  
2019-07-01 17:24:27,594  
2019-07-01 17:24:38,089  list
2019-07-01 17:24:39,035  list
2019-07-01 17:24:40,362  list
2019-07-01 17:24:40,815  
2019-07-01 17:24:40,967  
2019-07-01 17:24:44,288  delete 50
2019-07-01 17:25:18,951  delete monkey1
2019-07-01 17:25:23,032  list
2019-07-01 17:25:33,474  help
2019-07-01 17:25:40,234   add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 17:25:40,793  
2019-07-01 17:25:46,200   add monkey1 12 13200000001 monkey@51reboot.com
2019-07-01 17:25:48,270  list
2019-07-01 17:25:56,785  update monkey set age = 18
2019-07-01 17:26:01,174  update monkey set age = 19
2019-07-01 17:26:03,088  list
2019-07-01 17:26:07,963  help
2019-07-01 17:26:24,050  display page 2 pagesize 5
2019-07-01 17:28:35,023  list
2019-07-01 17:28:36,895  display page 2 pagesize 5
2019-07-01 17:28:51,222  display page 2 
2019-07-01 17:28:57,117  export
2019-07-01 17:29:32,031  display page 2 pagesize 5
2019-07-01 17:29:33,854  export
2019-07-01 17:29:42,162  exit
2019-07-01 18:23:35,278  list
2019-07-01 18:23:44,267  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:29:09,497  list
2019-07-01 18:29:15,326  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:30:34,258  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:31:26,878  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:31:28,706  
2019-07-01 18:31:32,014  list
2019-07-01 18:31:35,424  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:31:36,293  
2019-07-01 18:31:37,541  list
2019-07-01 18:31:50,261  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:31:55,747  add monkey2 12 13200000001 monkey@51reboot.com
2019-07-01 18:31:57,050  lsit
2019-07-01 18:31:58,472  list
2019-07-01 18:34:35,073  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:34:35,275  
2019-07-01 18:35:03,754  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:42:20,125  list
2019-07-01 18:42:31,262  add monkey 12 13200000001 monkey@51reboot.com
2019-07-01 18:42:37,378  add monkey 19 13200000001 monkey@51reboot.com
2019-07-01 18:42:43,405  delete 52
2019-07-01 18:42:47,949  delete monkey1
2019-07-01 18:42:49,632  list
2019-07-01 18:42:51,941  delete monkey1
2019-07-01 18:42:53,455  list
2019-07-01 18:42:58,278  help
2019-07-01 18:43:02,725  find monkey
2019-07-01 18:43:04,506  help
2019-07-01 18:43:11,557   display page 2 pagesize 5
2019-07-01 18:43:11,782  
2019-07-01 18:43:16,510   display page 2 
2019-07-01 18:43:19,057  export
2019-07-01 18:43:20,256  exit
2019-07-01 18:46:45,917  list
2019-07-01 18:58:49,487  list
